LAS F1 Score: 53.51
MLAS Score: 43.27
BLEX Score: 45.12
Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     65.09 |     65.09 |     65.09 |     65.09
LAS        |     53.51 |     53.51 |     53.51 |     53.51
CLAS       |     51.19 |     40.33 |     45.12 |     40.33
MLAS       |     49.09 |     38.68 |     43.27 |     38.68
BLEX       |     51.19 |     40.33 |     45.12 |     40.33
